Rally #,Point #,Serving Player,Start Time,End Time,Duration,# of Shots,Won By,Rally Ending,Net Point - isaac stahly,Net Point - Alessandro  Santangelo,Serve and Volley,Detection Type
1,1,,00:00:00,00:00:00,00:00:00,0,,,NO,NO,NO,RECONSTRUCTED
2,2,isaac stahly,00:01:27,00:01:29,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
3,2,isaac stahly,00:01:34,00:01:36,00:00:01,1,Alessandro  Santangelo,DOUBLE_FAULT,NO,NO,NO,TRACKED
4,3,isaac stahly,00:01:52,00:01:54,00:00:01,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
5,4,isaac stahly,00:02:12,00:02:14,00:00:01,1,isaac stahly,ACE,NO,NO,NO,TRACKED
6,5,isaac stahly,00:02:28,00:02:29,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
7,5,isaac stahly,00:02:35,00:02:44,00:00:09,7,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
8,6,isaac stahly,00:03:04,00:03:13,00:00:08,6,isaac stahly,ERROR,NO,NO,NO,TRACKED
9,7,isaac stahly,00:03:32,00:03:33,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
10,7,isaac stahly,00:03:42,00:03:48,00:00:06,5,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
11,8,,00:00:00,00:00:00,00:00:00,0,,,NO,NO,NO,RECONSTRUCTED
12,9,Alessandro  Santangelo,00:04:27,00:04:28,00:00:01,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
13,9,Alessandro  Santangelo,00:04:41,00:04:51,00:00:09,6,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
14,10,Alessandro  Santangelo,00:05:11,00:05:14,00:00:03,2,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
15,11,Alessandro  Santangelo,00:05:25,00:05:36,00:00:11,7,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
16,12,Alessandro  Santangelo,00:05:52,00:05:53,00:00:00,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
17,12,Alessandro  Santangelo,00:05:59,00:06:09,00:00:09,6,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
18,13,isaac stahly,00:06:31,00:06:32,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
19,13,isaac stahly,00:06:37,00:06:44,00:00:07,5,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
20,14,isaac stahly,00:06:56,00:07:04,00:00:08,6,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
21,15,isaac stahly,00:07:20,00:07:21,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
22,15,isaac stahly,00:07:29,00:07:37,00:00:07,5,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
23,16,isaac stahly,00:07:53,00:07:54,00:00:01,1,isaac stahly,ACE,NO,NO,NO,TRACKED
24,17,isaac stahly,00:08:07,00:08:08,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
25,17,isaac stahly,00:08:13,00:08:19,00:00:06,4,isaac stahly,ERROR,NO,NO,NO,TRACKED
26,18,isaac stahly,00:08:40,00:08:49,00:00:09,7,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
27,19,Alessandro  Santangelo,00:09:56,00:10:01,00:00:04,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
28,20,Alessandro  Santangelo,00:10:15,00:10:25,00:00:09,6,isaac stahly,ERROR,NO,NO,NO,TRACKED
29,21,Alessandro  Santangelo,00:10:44,00:10:45,00:00:01,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
30,21,Alessandro  Santangelo,00:10:52,00:10:53,00:00:00,1,isaac stahly,DOUBLE_FAULT,NO,NO,NO,TRACKED
31,22,Alessandro  Santangelo,00:11:09,00:11:10,00:00:01,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
32,22,Alessandro  Santangelo,00:11:18,00:11:23,00:00:05,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
33,23,Alessandro  Santangelo,00:11:47,00:11:53,00:00:05,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
34,24,isaac stahly,00:12:13,00:12:15,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
35,24,isaac stahly,00:12:22,00:12:24,00:00:01,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
36,25,isaac stahly,00:12:42,00:12:45,00:00:02,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
37,26,isaac stahly,00:12:59,00:13:00,00:00:01,1,isaac stahly,ACE,NO,NO,NO,TRACKED
38,27,isaac stahly,00:13:14,00:13:21,00:00:07,5,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
39,28,isaac stahly,00:13:34,00:13:36,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
40,28,isaac stahly,00:13:41,00:13:49,00:00:08,5,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
41,29,isaac stahly,00:14:14,00:14:16,00:00:01,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
42,30,Alessandro  Santangelo,00:14:54,00:14:55,00:00:00,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
43,30,Alessandro  Santangelo,00:15:09,00:15:11,00:00:01,2,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
44,31,Alessandro  Santangelo,00:15:26,00:15:30,00:00:04,3,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
45,32,Alessandro  Santangelo,00:15:46,00:15:56,00:00:10,7,isaac stahly,ERROR,NO,NO,NO,TRACKED
46,33,Alessandro  Santangelo,00:16:09,00:16:09,00:00:00,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
47,33,Alessandro  Santangelo,00:16:16,00:16:22,00:00:05,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
48,34,Alessandro  Santangelo,00:16:45,00:16:46,00:00:00,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
49,34,Alessandro  Santangelo,00:16:52,00:16:54,00:00:01,2,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
50,35,Alessandro  Santangelo,00:17:16,00:17:22,00:00:06,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
51,36,isaac stahly,00:17:36,00:17:40,00:00:03,3,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
52,37,isaac stahly,00:17:49,00:17:57,00:00:08,6,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
53,38,isaac stahly,00:18:08,00:18:09,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
54,38,isaac stahly,00:18:14,00:18:16,00:00:01,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
55,39,isaac stahly,00:18:43,00:18:45,00:00:01,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
56,40,isaac stahly,00:19:04,00:19:08,00:00:04,3,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
57,41,isaac stahly,00:19:18,00:19:33,00:00:15,10,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
58,42,isaac stahly,00:19:51,00:19:52,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
59,42,isaac stahly,00:19:58,00:20:03,00:00:04,4,isaac stahly,ERROR,NO,NO,NO,TRACKED
60,43,,00:00:00,00:00:00,00:00:00,0,,,NO,NO,NO,RECONSTRUCTED
61,44,,00:00:00,00:00:00,00:00:00,0,,,NO,NO,NO,RECONSTRUCTED
62,45,Alessandro  Santangelo,00:21:12,00:21:14,00:00:01,1,Alessandro  Santangelo,,NO,NO,NO,TRACKED
63,45,Alessandro  Santangelo,00:21:26,00:21:31,00:00:04,3,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
64,46,Alessandro  Santangelo,00:21:47,00:21:48,00:00:01,1,isaac stahly,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
65,46,Alessandro  Santangelo,00:21:55,00:22:00,00:00:04,3,Alessandro  Santangelo,WINNER,NO,YES,YES,TRACKED
66,47,Alessandro  Santangelo,00:22:18,00:22:21,00:00:03,3,isaac stahly,ERROR,NO,NO,NO,TRACKED
67,48,Alessandro  Santangelo,00:22:34,00:22:39,00:00:04,3,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
68,49,Alessandro  Santangelo,00:22:57,00:23:02,00:00:05,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
69,50,isaac stahly,00:23:28,00:23:38,00:00:10,8,isaac stahly,ERROR,NO,NO,NO,TRACKED
70,51,isaac stahly,00:24:04,00:24:14,00:00:09,7,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
71,52,isaac stahly,00:24:35,00:24:44,00:00:09,7,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
72,53,isaac stahly,00:25:03,00:25:05,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
73,53,isaac stahly,00:25:10,00:25:18,00:00:08,6,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
74,54,isaac stahly,00:25:38,00:25:40,00:00:01,1,isaac stahly,ACE,NO,NO,NO,TRACKED
75,55,isaac stahly,00:26:01,00:26:02,00:00:00,1,Alessandro  Santangelo,LET_SERVE,NO,NO,NO,TRACKED
76,55,isaac stahly,00:26:08,00:26:09,00:00:01,1,Alessandro  Santangelo,LET_SERVE,NO,NO,NO,TRACKED
77,55,isaac stahly,00:26:21,00:26:22,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
78,55,isaac stahly,00:26:35,00:26:36,00:00:00,1,Alessandro  Santangelo,DOUBLE_FAULT,NO,NO,NO,TRACKED
79,56,Alessandro  Santangelo,00:27:20,00:27:25,00:00:05,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
80,57,Alessandro  Santangelo,00:27:41,00:27:45,00:00:04,3,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
81,58,Alessandro  Santangelo,00:27:58,00:28:06,00:00:07,5,Alessandro  Santangelo,WINNER,NO,NO,NO,TRACKED
82,59,Alessandro  Santangelo,00:28:34,00:28:39,00:00:04,4,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
83,60,isaac stahly,00:29:00,00:29:03,00:00:03,3,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
84,61,isaac stahly,00:29:20,00:29:24,00:00:04,3,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
85,62,isaac stahly,00:29:32,00:29:34,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
86,62,isaac stahly,00:29:39,00:29:42,00:00:02,2,isaac stahly,ERROR,NO,NO,NO,TRACKED
87,63,isaac stahly,00:29:53,00:29:55,00:00:01,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
88,63,isaac stahly,00:30:00,00:30:12,00:00:11,9,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
89,64,isaac stahly,00:30:27,00:30:28,00:00:01,1,Alessandro  Santangelo,LET_SERVE,NO,NO,NO,TRACKED
90,64,isaac stahly,00:30:33,00:30:34,00:00:00,1,Alessandro  Santangelo,FIRST_SERVE_FAULT,NO,NO,NO,TRACKED
91,64,isaac stahly,00:30:47,00:30:58,00:00:10,7,Alessandro  Santangelo,ERROR,NO,NO,NO,TRACKED
